submission_date,state,tot_cases,tot_death
7/1/22,MA,1926543,20953
5/18/22,IN,1718494,23662
2/25/22,KS,765566,7937
12/7/20,UT,217638,949
7/26/22,HI,313805,1536
11/14/21,UT,571507,3347
3/26/20,GA,1843,60
8/26/20,MP,54,2
2/7/20,AS,0,0
7/16/20,FL,321186,5764
10/31/21,AS,4,0
3/23/21,FL,1982865,33703
3/29/21,FL,2013975,34012
6/20/22,PW,5181,6
3/20/20,HI,49,0
1/10/21,GU,7399,124
8/22/22,NM,606805,8365
9/5/20,TX,635315,15232
3/19/20,AK,11,1
1/15/22,NM,398939,6145
10/23/21,FL,3658325,60995
11/21/21,WA,764284,9110
11/2/21,GU,18410,245
12/25/21,UT,623703,3754
10/2/20,WV,16307,355
3/21/20,AL,149,4
6/27/21,SD,124504,2030
8/26/22,FL,7004862,80171
7/16/21,PW,2,0
4/7/22,GU,47541,352
8/31/21,RMI,4,0
7/11/21,PW,2,0
5/30/22,TN,2060900,26477
2/16/21,RMI,4,0
5/1/20,AL,7422,404
7/10/21,UT,419388,2395
9/18/22,GA,2893001,40025
1/3/21,WV,91058,1376
7/26/20,PA,112447,7122
4/24/21,PR,130333,2254
6/8/21,AL,544706,11454
8/5/20,TN,111239,1117
11/8/21,RMI,4,0
11/16/21,PW,10,0
10/6/20,HI,13009,160
6/17/21,AS,0,0
7/16/20,SD,7694,115
4/29/22,PR,532101,4201
3/25/20,AK,49,1
8/30/21,IN,855031,14411
6/9/20,KS,10650,236
6/4/20,ND,2706,66
2/4/22,TN,1923548,22994
7/27/20,OH,85177,3344
5/15/21,PR,137999,2426
12/17/20,PW,0,0
4/9/20,GA,10693,413
4/17/20,OH,9107,418
4/25/20,ND,803,16
11/11/20,KS,109225,1215
9/25/22,AR,949754,12080
6/21/22,WV,527437,7018
3/8/20,AS,0,0
8/18/21,IA,392970,6226
7/13/21,FL,2395447,38513
3/22/20,UT,169,1
1/2/21,NYC,452671,25149
12/10/20,ND,87213,1130
6/28/20,MP,30,2
11/30/21,AS,10,0
10/28/20,MP,92,2
3/12/20,TN,0,0
11/21/21,IA,513637,7268
6/29/20,OH,51046,2818
4/6/22,AL,1295389,19595
9/16/21,IA,431658,6401
4/7/20,PA,14663,240
1/17/21,UT,323837,1493
12/17/20,GU,7193,119
8/4/22,AR,908390,11745
4/3/20,MP,8,1
7/14/21,HI,37174,518
6/15/21,PA,1214609,27514
6/1/21,RMI,4,0
8/25/21,OK,539074,7857
10/3/20,TN,196698,2515
11/25/21,IN,1087016,17386
8/6/22,GU,55925,382
1/2/22,TX,4684264,74491
6/26/20,MP,30,2
8/13/21,NYC,1001223,33650
11/17/21,IN,1061791,17191
9/26/20,OH,150009,4740
1/1/22,NYC,1562082,35389
2/24/20,AK,0,0
10/23/21,KS,428816,6211
5/31/20,IA,19552,534
2/29/20,PR,0,0
5/5/22,PR,555811,4223
10/2/21,IN,968010,15765
10/21/21,SD,151971,2214
11/27/20,AR,153677,2436
2/9/20,FL,0,0
8/22/22,PA,3150248,46514
4/19/21,KS,306290,4955
5/21/22,WA,1553649,12863
7/3/20,AS,0,0
2/22/22,OH,2647048,36267
2/14/21,WV,127588,2210
12/22/20,FL,1210194,22071
7/10/22,WA,1689123,13344
9/24/22,AK,282372,1329
7/1/20,MP,30,2
10/3/22,PR,958776,5155
1/24/21,IA,312932,4488
6/22/21,RMI,4,0
10/29/20,AL,188557,4547
12/30/21,MS,543737,10450
3/26/20,NM,136,1
5/16/22,IN,1716327,23640
1/24/22,NYC,2209227,37768
6/18/22,WA,1631378,13115
9/7/22,KS,868911,9027
9/17/21,AS,0,0
9/13/20,AS,0,0
1/28/20,OH,0,0
10/13/20,MS,109621,3429
10/23/20,ND,36874,448
4/11/20,AS,0,0
12/6/20,AS,3,0
8/16/22,GU,57040,390
4/7/22,PA,2786509,44391
10/17/20,GA,362517,7607
6/12/20,CO,29175,1595
12/25/20,GU,7266,121
3/15/20,AR,16,0
11/18/20,UT,162028,740
3/28/22,MA,1694801,20081
4/29/21,SD,122532,1962
4/2/21,KS,302873,4932
8/17/22,UT,1020130,4940
10/23/20,SD,37202,356
8/19/20,UT,48260,377
1/12/22,GA,2069066,31801
7/10/20,AS,0,0
12/24/21,FL,3926918,62897
7/26/20,MP,39,2
3/19/22,KS,769218,8146
5/12/20,IA,12912,289
3/4/21,IA,338269,5536
9/15/21,KS,393696,5801
8/20/22,WV,572854,7234
5/5/21,SD,123073,1976
10/3/21,CO,682254,7614
5/5/21,KS,310115,4999
4/25/21,NYC,922619,32443
11/15/21,WV,283561,4636
12/1/20,AR,159309,2512
11/1/20,WV,24883,457
2/1/22,NYC,2241198,38573
8/30/21,AK,83991,427
3/1/20,IN,0,0
12/3/20,OH,446849,6753
5/7/21,IA,367297,5983
11/17/21,RMI,4,0
12/13/20,RMI,4,0
2/18/21,WV,128760,2236
7/8/20,PW,0,0
2/3/21,TN,724035,9900
6/13/22,MS,816572,12481
9/20/22,RMI,15224,17
2/25/22,CO,1404073,11752
1/18/21,KS,259822,3525
6/26/21,TN,864185,12550
2/5/22,PW,2559,0
8/3/20,AL,92164,2424
4/29/20,KS,3738,125
1/14/21,AL,415413,8342
6/27/20,AL,35011,1288
4/16/20,KS,1588,80
2/6/21,SD,109132,1804
2/5/20,AS,0,0
3/30/20,OK,1560,30
1/17/22,HI,170259,1115
12/7/21,PR,189061,3274
1/8/22,IN,1329423,19614
10/19/21,WV,261890,4145
3/7/20,AS,0,0
9/22/20,MS,97212,3169
5/7/20,WA,16309,891
6/20/20,OH,44262,2697
11/11/20,AL,208626,4828
9/23/22,WA,1808286,14274
1/11/22,GA,2050127,31744
1/24/22,AS,18,0
4/28/21,PW,0,0
4/15/22,GU,47725,354
5/21/22,PW,4967,6
10/18/21,GU,17154,226
12/27/20,TN,554268,6443
7/28/20,AK,2735,33
2/18/20,OH,0,0
4/21/21,KS,306883,4961
2/16/20,AL,0,0
11/27/21,ND,161093,1877
10/31/20,SD,45992,425
11/5/21,MA,861480,19087
8/3/20,IN,68433,2961
8/19/22,ND,262554,2329
10/18/21,AL,810977,15948
5/7/22,TN,2033378,26209
6/3/20,SD,5162,62
10/18/21,PW,10,0
7/12/21,PA,1219666,27750
5/10/21,IN,730306,13392
2/14/20,AS,0,0
2/20/20,MS,0,0
12/1/21,MA,924400,19430
7/3/22,AR,868384,11589
10/21/20,MP,88,2
1/26/21,CO,399160,5517
8/30/21,MP,242,2
7/1/21,NYC,956061,33426
10/19/20,AL,172863,4359
8/25/22,PA,3167638,46596
10/29/20,PA,209507,8762
10/31/20,IA,127966,1716
12/20/20,AL,321156,6428
3/1/21,SD,112470,1888
9/1/21,PW,4,0
2/9/21,PW,0,0
6/9/22,AR,848474,11512
9/23/22,OH,3131645,39767
4/9/21,PR,115559,2142
9/18/22,PR,947672,5074
7/31/20,NYC,228542,23263
10/16/20,IN,143495,3885
9/4/22,AR,936411,11933
10/15/20,NYC,256148,23608
12/30/20,ND,92495,1292
5/6/22,TX,6756355,86619
1/13/22,CO,1154833,10582
3/26/21,FL,2000415,33871
5/30/20,MA,96301,7184
4/30/21,GA,1100187,20190
3/17/22,MA,1685055,20023
9/15/20,MA,125393,9260
1/14/22,MP,3905,21
5/6/22,ND,241739,2268
6/10/22,WA,1610550,13046
6/5/22,IA,781963,9603
7/14/21,IA,375321,6158
8/2/20,MP,44,2
7/1/22,AK,261987,1252
8/24/20,IA,56631,1044
6/25/21,IN,752699,13812
9/25/22,PR,951177,5118
5/5/21,FL,2218479,35976
5/18/22,UT,938864,4761
5/12/22,IA,768869,9555
2/27/22,MA,1669594,23370
5/17/20,WA,18481,1001
4/2/21,UT,386550,2131
2/21/22,IA,746825,8948
8/15/21,NY,1200816,20080
3/7/21,CO,445360,5989
2/2/22,TN,1890625,22850
9/24/22,PW,5460,6
5/19/22,CO,1460668,12515
4/15/22,GA,2506634,37523
2/23/20,AL,0,0
10/28/20,TN,249703,3207
7/2/21,SD,124582,2038
8/21/20,NYC,234152,23354
2/5/21,WV,123641,2100
3/1/22,PW,3823,6
